"DeathRate","Perc_OnlyPrivate","Perc_Private","Perc_Poverty","Perc_MarriedHouse","Avg_Cases","Mean_Male","Mean_Female","BirthRate","Perc_Married","Perc_Unemployed16","Perc_HighSchool25","Perc_HighSchool18_24","Perc_Col18_24","Perc_Bach25","Perc_Emp16","Avg_DeathPerYear","Mean_Income","IncidenceRate"
176.1,53.8,69.2,22.9,43.22746048,267,32.5,34.1,4.437890116,42,9.7,32.2,14.8,NA,14.1,55.9,108,41319,464.1
195.4,33.3,48.3,16.3,51.43165856,21,35.9,40.8,10.28806584,53.5,4,40.7,20.8,NA,10.5,60.3,14,38281,329.9
171.4,NA,68.9,12,53.77866168,235,42.3,45.1,7.406593407,55.6,6,39.5,39.5,NA,12.2,57.9,104,45430,407.6
159.6,63.8,79,10,50.74358294,6825,39.4,42.1,5.31040591,52.4,7.5,20.1,26.8,NA,25.4,61.4,2231,69378,495.7
189.2,50.9,63.5,18.2,41.79490974,4383,34.6,37.6,5.094111629,43.2,10,28.6,32.4,NA,18.7,57.9,1638,46013,504.4
127.9,60.3,76.6,11.5,59.3902439,1962.667684,36.9,33.6,13.96396396,63.5,2.4,27.4,27,NA,16.4,71,4,56591,453.5494221
203.7,42.9,58.8,21.9,55.07142123,158,40.9,43.7,5.225066196,53.9,10.5,45.3,52.4,NA,7.5,NA,72,35400,459.9
226.1,37.6,57.1,19.1,47.72784971,62,40.7,44.6,3.922594142,54.1,5.5,34.7,51.8,NA,13.2,54.7,29,36699,491.5
147.1,46,58.5,18.7,41.35260379,2820,35.2,37.9,5.264795797,43.7,8.4,23.8,25.7,48.3,17.9,57.5,1031,47192,404.1
189.1,NA,61.7,15,51.77888294,85,41.8,45.8,6.987761548,54.3,9.8,49.5,47.6,NA,6.6,51.6,34,39563,486.2
180.3,48.8,66,16.7,49.42212718,337,42.6,45,5.052412881,50.2,7.1,39.2,36.4,41.2,9.5,53.6,121,46387,512.4
165,46.5,61.3,15.2,40.13853119,5978,45.6,48.5,4.507693163,44.2,8.4,29.5,32.4,NA,18.8,NA,2528,45162,430.8
202.1,46.3,59.8,17.4,52.40160813,129,40.2,41.3,6.976323875,54.5,8.1,42.5,35.4,NA,11,54.8,65,37360,421.8
142.9,NA,66.6,14.7,60.5823533,1715,34.2,38.5,6.943122405,53.1,7.9,23,27.9,NA,22.2,60.4,501,83162,502
186.5,45.1,62.3,19.1,51.80709534,675,38.8,40.4,4.659172628,52.9,10.6,31,34.5,NA,12,51.9,273,44358,477.4
176.8,38.6,53.6,25.9,46.04772558,124,43.2,47.1,3.995098039,43.9,6.4,37.3,38.1,NA,10.9,40.5,61,33698,372.1
170.1,44.1,57.6,18.6,51.58730159,196,37.5,40.3,4.404237591,53.2,6.9,38.9,30.9,NA,10.4,52.5,77,41085,438.6
119.8,47.2,61.1,21.3,44.86582724,399,30.7,31,5.030073987,41.2,8.8,21.3,26.3,NA,19.5,58.9,130,48653,348.4
190.7,51.6,65.9,12.9,57.44026155,278,38.1,39.5,5.506783719,58.4,5.5,38.2,41.7,NA,10.8,55.8,117,53872,459.5
187.3,NA,66.2,13.8,52.49742357,191,38.5,42,6.869503209,53.2,8.7,40.8,38.8,NA,9.2,57,89,44430,412.9
196.8,25.8,46,19.9,45.43318649,112,40.5,45.4,4.01891253,44.3,4.4,35.9,39.7,NA,10.5,46.2,54,36591,428.7
165.4,NA,69,12.7,50.3260397,113,42.1,44.9,6.749226006,55.4,3.5,35.5,26.3,43.4,14.1,62.6,41,48292,494
161.5,57,71.6,10.7,48.51378199,4431,38.9,42.2,4.825363357,48.6,7.7,26.2,32,NA,22.3,62.5,1477,70074,507.1
173.3,43.6,62.3,15.3,49.86310746,1962.667684,46.9,47.9,3.367670365,55,7.8,36.5,34.7,NA,13.5,54.4,37,44113,453.5494221
175.8,36.8,51,23.2,51.54628257,105,43.1,47.9,6.462372316,51.6,10.6,34.4,39.5,NA,6.7,35.9,56,32083,325.8
192,40.7,51.6,25.9,52.49303974,48,35.6,37.9,3.53909465,53.5,4.4,40.5,29,NA,7.9,52.3,24,34201,378.7
173,48.9,66.2,14,50.52763819,114,40.7,43.8,5.77755154,50.7,5.6,42.2,51.8,NA,9.1,NA,46,47985,441.2
152.7,56.1,74.8,11.6,55.92544836,1962.667684,41.7,44.4,5.655206776,59.1,4.3,35.7,31.1,NA,13.8,64.5,50,52444,453.5494221
154.7,NA,64.3,14,52.98314358,399,37.7,41.2,4.217134885,52.3,7.5,30.1,33.3,NA,15.2,56.8,144,49174,451.5
169.7,49,67.4,11.3,53.45761431,120,44.2,46.9,3.697661773,57.4,5.7,42.3,43,NA,11.4,59.5,49,51175,441.8
150,55,68.3,15.6,54.17001877,50,38.3,39.4,6.633574007,51.3,6.3,36.2,13.4,72.1,15.9,55.8,20,44188,398.7
158.9,NA,70.5,19.5,46.42554551,760,30.5,31.4,4.109357003,43.1,9,19.7,23.9,56.7,19.7,55.4,282,54509,428.2
214.9,33.4,45.5,27.9,51.67824074,187,38.8,41.4,6.132732926,52.7,9.8,39.5,38.5,NA,9.4,47.6,109,35592,375.8
169.8,42.1,57.3,20.7,47.16886588,100,42.1,44.8,4.987212276,50.5,8.8,31.7,39.1,NA,11.1,48.3,37,40590,479.3
177.6,61,74.8,11.8,49.94167427,643,36.1,38.3,3.681800261,46.8,6.5,28,23.5,NA,21.1,64.3,227,58577,502.6
168.1,NA,80,8.6,50.40904224,1825,33.5,37,5.841796248,50.1,6.1,22.4,31.9,NA,22.2,60.4,688,67676,435.6
166.6,40,52,22.1,49.71603647,181,36.5,38.2,8.922207202,50.4,6.4,35.4,49,NA,11.7,56.2,72,41587,420.8
191.2,56.1,68.1,14.3,51.0731913,1336,36.3,38.7,5.330646143,50.9,7.5,24.5,29.5,45.5,19.1,59.8,569,58333,443.8
164,59.3,79,9.5,46.93813131,518,42,45.6,2.872784433,49.7,6.9,23.1,28.1,NA,26.4,59.2,193,69203,469
227.5,40.2,56.1,26.8,49.35606748,96,40.1,42.6,4.891661195,46.9,6.3,42,44.1,24.3,7.9,41.3,41,36644,524.4
201.1,36.7,53.9,20.1,45.45804465,83,42.4,47.1,1.546003017,49.6,7.2,39,40.8,NA,10.3,45.8,41,34340,434.6
194.7,49.6,66,20,47.93976679,439,43,45.4,4.806907805,48.9,8.8,42.5,30.9,NA,9.6,49.5,197,40148,462.5
194.2,35.8,48.9,31.7,32.24368918,486,32.6,35.7,6.218730618,33.6,18,29.3,26.1,NA,11.1,47,187,32150,501.8
184.8,NA,69.5,16.1,39.41986227,1591,31.1,34.6,4.618133504,38.7,9.4,22.5,27.3,NA,22.1,57.6,629,49782,455.7
124.1,67.7,78.3,13.3,47.57827549,1159,34.4,37.1,4.171506363,47.7,6.1,12.7,19,59.5,31.8,65.5,340,71546,409.9
197.4,NA,72.5,13.2,57.2713258,282,37.2,40.7,5.002432301,51.3,6.9,42.9,30.9,NA,11.2,54.7,121,54868,460.5
157.1,68.1,81.9,6.3,63.06541508,570,41.6,44,4.066933111,57.4,6.8,27.3,24.7,NA,21.8,63.9,170,94334,511.8
162.2,45.7,64.6,13.8,54.8215151,1962.667684,42.9,44.5,4.499229584,54.9,9.8,39.7,40.1,NA,8,56.3,35,48908,453.5494221
221.7,27.8,41.2,33.7,34.60837887,70,37.5,42.2,4.996127033,33.2,20.8,41.3,43,NA,8.1,32.1,32,24035,500.5
168.9,55.3,69.7,12.3,47.79304059,812,36.8,39.1,5.116068139,50.2,4.1,31.2,37.6,39.2,20.1,64.8,300,51653,475.8
152.7,40,59.6,17.5,60.04896107,279,49.9,49.7,5.73630137,57,9.1,36,39.4,40.3,13.6,47.5,107,44410,399.4
182.2,53.5,63.3,10.7,62.7100073,57,30.3,33.9,10.78180889,58.1,3.9,33.6,46.7,28.8,8.8,64.8,25,66878,401.3
184.9,52.7,64.1,15.3,55.35270379,745,36.4,38.6,5.25474016,53.5,8.9,30.4,34.1,NA,14.8,59.4,288,50055,459.8
177.9,43.7,52.4,12.4,49.51241135,29,29.1,31.3,9.422492401,46.4,5.6,33.3,61.8,NA,9,66.6,9,43523,537.2
185.5,NA,63,17.2,47.88351017,554,41.1,44,6.23870268,51.1,8.6,38.1,36.5,NA,12.2,52.4,217,41932,488.8
144.8,49.7,60.4,21.8,48.38731814,149,29.5,31.1,5.054084297,46.6,4.1,27.1,22.4,NA,18.5,59.3,57,41914,388.1
164.3,48.3,65.2,16.6,48.94044517,753,39.3,42.3,5.643104513,49.9,9.9,31,33.8,NA,15.9,52.8,330,48537,384.5
157.4,53.7,72.5,10.6,58.48474785,346,45.4,46.6,5.499704317,55,11.6,35.8,32.1,46.2,14.7,51.9,120,58375,461.5
147.8,59.2,70,29.9,36.08648401,160,24,26,3.389715373,33,13.3,19.3,10.3,NA,21.7,47.3,56,34429,425.4
182.1,NA,76.9,13.1,42.45865232,7913,38.8,42.9,5.044224477,45.4,7.1,29.8,25,NA,22.1,59.8,3100,52385,501.2
180.1,56,73.4,11.8,54.01350338,208,36.7,41,4.731034483,54.1,5.4,36.4,31.3,41.4,14.7,64.1,77,52578,506.6
182.1,48.1,61.2,17.3,52.47685764,107,37.7,38.7,7.088398929,54.3,7.2,31.8,36.8,36.6,10.7,56.5,47,46705,435.6
129.1,49.5,68.9,12.7,51.54017857,62,49.2,49,5.364583333,57.4,3.9,28.4,36.9,NA,20.4,59.6,20,47520,411.7
184.3,42.9,56.4,19,48.5237484,77,39.1,40.4,4.708383961,49.9,7.4,40.4,49.3,28.4,9,50.8,34,37853,430.1
193.1,37.9,61.9,18.1,55.95126523,106,50.7,54,7.575757576,55,10,34.9,19.2,NA,13.9,39.4,41,39453,550.7
176.6,56.7,73,10.9,55.11347716,1962.667684,42.9,44.6,7.435158501,58.5,5.1,36.8,31.8,NA,15.6,62.1,22,55705,453.5494221
141,55.2,74.4,10.9,52.52586732,66,44.1,47.6,5.591612581,58.7,3.3,36,23.5,NA,12.9,61.7,26,51754,403.7
163.8,61.7,77.9,7.7,57.61862432,8895,39.1,42,4.419518742,51.4,6.4,29.3,28.5,45.4,18.7,61,2817,85886,528
215.5,31.6,56.1,16.3,50.46463114,76,42.1,44.7,6.774774775,52.2,5.4,38.7,48.8,NA,10.8,47.5,42,40796,403.3
188.2,40.2,57.8,19.9,49.59658829,152,42.8,47.1,6.018822499,48.4,10.9,35.3,29.8,NA,7.6,48.2,60,42730,487.1
157.6,49.6,58.4,14.5,43.04294896,8954,38.6,41.1,4.663810807,43.1,10,27.6,29.4,44.8,19.8,59.8,3397,51485,438.3
206.3,40.3,58.8,16.8,59.99343617,47,40.4,40.8,7.483794932,58.1,5.7,40.5,28.5,NA,11.4,53.7,23,41610,433.7
163.3,54.6,68.7,15.7,48.06875024,1081,35.6,37.5,4.4729858,47.5,8.2,23,22.1,NA,21.3,57.8,367,53733,490.9
166.7,54.2,72,11.4,60.28214738,484,39.2,40.8,5.293976097,58.1,6.1,38.3,41,36.6,14.5,58.1,207,54232,387.2
165.2,69.1,81.3,6,62.21363084,1962.667684,35.3,36,6.296560212,60.5,5.2,28.9,26.8,NA,20.4,71.2,174,76489,453.5494221
162.1,52.6,65.1,14.5,56.32384273,150,37.8,40.7,3.929500144,52.5,9.5,37.3,40.7,NA,12.2,54.1,50,51749,472.1
210.8,32.8,43.9,21.7,55.37152408,80,37.7,39.6,4.942780618,53,10.9,45.6,37.6,37,4.7,47.5,41,36865,411.4
184.3,NA,76.5,11.5,47.33818078,840,34,35.6,6.112105642,49.5,4.4,29.3,31.2,45.8,20.8,70.9,312,55107,503.1
173.3,NA,74.3,10.8,47.825159,1620,40.3,43.3,3.772833827,49.4,5.4,24.1,24.3,51.3,27.3,64.5,607,61436,479.6
210,46.5,60.5,24.1,47.35854955,120,33.7,37.6,6.776379477,47.2,10.1,38.2,19.9,NA,13.3,53.3,62,37495,414.9
154.2,50.9,66.3,12.1,62.82269504,93,33.7,35,9.947524527,59.6,5.9,33.7,33,NA,10.2,55.5,35,48622,417.4
238.2,50.1,62.3,16.4,62,83,39.9,41.5,3.774056486,57,6.1,35.5,29.7,NA,10.2,56.9,47,42953,423.9
198.1,45.4,60,18.7,45.40726776,230,41.5,43.4,6.140350877,47.6,11.9,35.5,28,44.7,11.3,53,98,45841,477.8
177,36.1,60.1,21.4,49.31100276,134,48.5,49.8,6.505717916,54.7,12.4,40.9,27.9,38.8,7.5,43.2,62,35968,402.9
174.2,58.4,75.5,9.3,45.21959459,1962.667684,36.6,40.3,5.893845653,49.7,3,36,27.5,52.8,11.8,68.5,31,50905,453.5494221
173.7,54.4,68.4,16.8,41.13486198,1760,35.3,38,4.774692859,42.5,7.7,21.6,23.3,NA,25.9,60.1,668,52752,462.1
199.1,50.8,64.4,14.3,54.88790688,273,38.5,40.9,4.968421053,52.5,7.5,43.7,51.3,NA,9.3,54.7,110,45914,497.9
189.4,NA,44.8,19.9,48.08533917,98,50.1,50.5,1.470588235,53.8,9,31,50.1,NA,15,42.2,41,34961,455.5
165.3,42.3,57.4,21.5,50.32759039,60,31.7,43.5,8.393501805,43.3,5.7,36.8,35.5,NA,7.8,35.3,26,39030,403
213.4,41.8,55.9,17,54.58960661,37,-999,43.1,5.540166205,58.4,6.8,38.2,36.5,NA,7.9,52.4,16,40701,534.8
156.8,63.3,75.4,13,43.89529902,1962.667684,35.3,37.2,5.881342381,47.2,6,17.8,22.5,NA,30.3,67.9,1854,64490,453.5494221
230.9,37.3,48.1,29.5,47.56717502,44,43.4,45,8.014184397,51.7,12.1,39.4,58.9,NA,7.3,41.5,21,27323,483.5
193.7,36.6,51.8,27.1,41.11153407,31,43.5,42.2,1.448321264,41.6,5.4,41.6,45.9,NA,10.5,48.8,15,32536,404.5
205,33.3,43.4,32.7,41.49092693,111,35.1,38.8,8.514774495,41.7,13.2,40.2,38.1,NA,6.1,47,52,30119,438.2
175.7,56.2,71.5,13.2,45.67653277,890,38.4,41.6,5.183987725,44.8,7.4,30,27.1,NA,16.4,NA,343,56508,482.8
198.1,NA,58,18.9,52.0415485,453,40.4,44.2,4.712239256,54.4,6.9,31.1,35.8,NA,10,51.2,196,37915,481.1
189.2,36.8,46.4,28.1,44.44522031,175,34.1,36.7,5.763286469,41.7,8.3,39.1,41.3,NA,8.6,45.9,78,33125,418.6
292.5,62.5,75.2,13.1,51.2302261,430,35.4,37.8,4.789430223,52.3,5.4,16,22.5,NA,26.7,62.9,269,66671,460.5
217.3,43.9,54.9,20.4,45.73721163,60,35.3,38.8,5.617495712,45.9,13.2,44,60.8,NA,6.3,51,26,43615,503.6
250.7,26.1,36.3,43,28.8648245,41,32.1,36.8,4.305555556,28.1,19.2,38.5,47,NA,6.6,32,20,25402,512.7
186.1,39.4,53.2,25,40.6686994,137,38.1,41.9,9.115971329,39.3,17.6,41.6,46.1,NA,6.6,46.4,59,32508,431.1
172.5,45.3,63.9,19.1,61.30713713,61,39.9,42.7,5.542168675,64.2,6.5,39.5,38.1,36.8,12.1,53.2,30,37581,382.1
163,41.6,65.1,10.9,48.76260312,37,48.1,50.1,11.20381406,55.9,3.3,30.8,7.1,72.7,13.1,59.2,13,44427,484.2
162.6,NA,72.7,10.2,55.04587156,98,42.1,43.3,6.077529566,54.6,5.5,35,24.5,NA,13.8,61.5,33,54683,510.8
168,NA,56.3,13.1,55.22971652,12,53.4,52.8,0,59.5,7.1,21.1,48.7,NA,18.7,56.1,7,46364,294.6
147.6,49.2,63.9,18.1,47.97841594,911,40.4,42,6.030934113,47.9,8.1,31.9,36.7,NA,17.3,53.5,343,51887,402.7
201.1,NA,61.5,17.7,53.74565671,232,39.2,41,4.754260311,53.9,7.2,36.7,28.8,NA,10.5,53.8,97,39247,502.7
193.4,52.8,75.9,12.5,59.43474647,1962.667684,46.6,49.5,5.611775529,62,3.2,35.7,36.6,NA,10,59.9,20,44774,453.5494221
177.2,59.8,75,9.5,50.35411163,307,29.6,31.3,7.382577604,49.7,7.9,23.4,30.2,NA,19.7,60.2,105,67801,424.4
155.4,NA,71.6,18.7,46.68361787,153,28.8,38,5.373953975,44.3,7.2,33.8,21.6,NA,19.2,51.4,67,39126,373.8
186.9,54.9,68,14.7,57.68894714,244,35.8,38.1,5.553303608,55.1,8.8,28.9,32.6,NA,16.2,58.9,91,51227,500.6
277.1,NA,45.2,34.2,49.14080309,182,39.6,42.2,3.257989088,52.7,9.8,35.6,31.5,NA,6.6,36.1,98,26351,504.8
202.5,39.3,55.1,17.6,53.84371029,221,38.7,40.2,5.739464467,55.4,7,37.5,43.7,NA,11.3,52.3,102,41806,434.6
243.5,41.1,54.2,23,55.55250891,115,40.3,41.7,8.986232791,56.7,9.6,41.3,45.5,18.2,5.9,48.1,54,38038,519.5
185.9,45.5,58.2,22.7,44.56630944,273,29.5,30.6,4.912890034,43.9,8.6,28.1,16.4,NA,15,53.6,116,38895,443.5
156.9,60.5,81.9,10.8,64.68172485,1962.667684,48.7,49.9,5.687203791,66.6,2.1,30.3,0,NA,20.4,60.5,3,52795,453.5494221
213.5,32.9,40.5,26.5,48.44877345,32,34.8,34.9,5.448065173,49.8,7.3,39.2,21.7,36.3,5.2,54.9,15,31740,403.2
206,50.9,65.9,17.5,51.4377298,146,38.5,41,5.751734773,52.8,9.7,47.4,45.6,NA,6.8,55.7,61,43783,479.5
218,36.7,51.8,25.2,56.45325203,63,42.2,44,11.46987952,58.4,7.4,40.9,35.2,NA,6.1,50.3,28,30460,492.1
166.7,45.7,57,14.3,58.66885785,12,33.5,30.7,10.47120419,60.6,4.3,39.4,44.5,NA,6.7,54.3,6,55918,313
187.3,NA,64.1,19.6,48.7488741,576,34.4,36.5,5.712144998,51.4,6,35.6,32.1,NA,15.1,61.2,239,40047,461.5
209.9,41,57.5,14.8,52.666999,119,43,44.6,8.863294942,57.3,6.6,34.1,40.2,NA,11.5,52.5,59,48996,434.5
191.7,49.4,63.5,16.3,59.65005302,61,36.9,38.2,9.868141217,56.8,8.6,35.4,41.5,NA,7.9,NA,23,51839,497.6
196.6,30.1,50.5,20.8,48.43873713,1424,48.3,50,4.575797025,49.5,13.2,35.7,40.3,NA,7.6,39.5,672,37704,444.9
200.1,35.3,50.3,21.6,51.46959459,90,42.1,44.6,6.869058571,51.8,9.2,39.2,31.4,NA,8.4,47.5,45,34411,424.4
186.9,55.4,67.3,13.9,57.19827586,65,37.2,39.8,5.586592179,60.5,3.5,40,31.7,NA,15,57,29,47391,442.3
171.5,56.3,69.1,30.4,38.03762292,264,29,32,3.217455621,37.8,10.4,25,23.2,NA,18.9,51,101,34395,471.4
203.3,39.1,59.2,15.1,52.49859629,84,40,42.5,3.244147157,53.2,3.6,39.2,45.7,NA,13.3,56,38,43783,467.1
217,NA,65.6,17.6,53.24704307,129,39.6,40.6,3.652716593,52.1,11,42.6,41.6,NA,8.3,51.9,59,41649,475.7
152.5,36.5,48.7,23.6,52.37974039,56,37.4,37.7,9.079391892,51,11.7,36.9,47,NA,6.9,49.7,19,38478,446.4
162.1,67.6,83.3,20.1,36.33759365,135,25.6,23.6,2.181467181,26.2,8.5,15.5,10,78.3,27.1,44.5,23,46954,1014.2
169.8,60.7,78.1,11.7,54.84009752,122,42.1,46.9,4.732327714,55.2,4.9,34.9,32.9,NA,13.1,58.8,49,53277,487.9
194.4,NA,64.8,19.6,48.22958057,690,38.6,39.8,4.859510954,46.8,9.7,39.9,26.2,NA,10.3,53.4,257,46926,520.6
167.1,NA,61.3,18,51.56493415,118,41,45.4,4.149048626,50.1,6.8,37.5,53.8,NA,10.7,48.1,49,45717,429
147.1,NA,61.7,15.5,53.79832387,52,39.9,45.1,10.60674157,50.6,4.3,36,43,27.6,9.9,42.8,24,51481,316.6
189,45.4,59.8,18.2,44.16932255,511,39.2,42.5,6.201122458,45.3,11.9,33.9,29.9,NA,13.6,53.8,215,43348,452.5
182.9,49.9,64.5,20.5,53.1496063,501,32.8,34.5,5.917065391,51.1,11.3,30.8,32.8,NA,13,49.6,190,-999,468.2
195.9,45,62.5,17.4,53.20852938,304,42.2,43.1,4.451140766,52.1,9.3,42.7,45.6,NA,9.8,48.9,137,39528,447.5
147.9,60.7,81.4,7.9,57.38845144,119,41.3,43.6,5,60.1,3,37,32.8,NA,15.5,67.2,38,61423,500.8
184.4,44.8,59.9,19.1,54.33287483,224,35.9,37.4,4.9190879,54.2,7.7,41.2,42.3,NA,9.5,56.6,89,42252,461.5
179.1,NA,59.5,17.1,53.81660264,182,39.2,43.5,4.543403039,52,6.7,35.2,33.3,39,10,48.4,81,43211,410.4
150.3,55.7,74.7,10.1,53.40909091,37,46.2,49.1,6.001846722,57.5,3.4,39.1,33.1,NA,13.5,63.3,15,54556,423.8
169.4,39.2,60.3,16.2,60.25241508,205,51.1,51.5,3.314818133,62.5,10.8,40.1,37.8,NA,10.9,45.2,92,40642,379.3
166.3,56.9,72.2,10.9,56.89721545,103,40.8,42.4,5.682622023,57.3,8.2,41.3,49,NA,11.4,57.9,43,55318,414.4
135.2,32,47.3,19.2,41.50030248,154,46.1,48.5,4.706601467,42.4,10.7,25.4,36.4,34.5,16.9,52.8,62,36125,339
108.8,58.3,82.8,11.9,56.9476082,11,51.8,51.9,4.361370717,62.2,2.2,39.3,53.5,20.2,10.9,59.1,4,44696,360.6
230.9,NA,45.2,28.1,51.01314348,116,42.7,45.2,5.124835742,53,10.4,44.2,51.8,NA,7,41.6,55,30299,496.6
217.1,40.9,58.5,16.9,47.98401744,54,39.6,44.4,8.271186441,51.1,6.7,35.9,28.6,NA,6,53,23,43654,522.1
153.3,41.8,61.3,20.1,57.87008756,128,41.2,43.8,4.930928626,57.1,8.7,34.7,32.9,NA,10.6,50,54,41166,370.2
168.1,NA,68,17.1,56.87707641,56,47,48.4,3.868613139,60.5,7.6,52.7,50.6,NA,7.1,51.7,19,36466,528.4
142.4,62.4,77.5,7.8,63.62799793,513,43.3,45,5.939818201,60.7,4.1,27.3,31.5,NA,23.8,63.1,173,72264,441
178.2,NA,69.8,9.9,53.29996737,1859,36.6,38.3,5.742215991,52.7,8.6,25.3,33.2,NA,17.8,58.5,771,61747,427.4
161.3,NA,69.6,12,51.08834827,52,47.7,49.8,2.702702703,59.5,2.8,34.5,42.2,NA,14.2,61.8,21,45192,411.5
171.7,40.5,61.2,20.3,48.91114983,36,41.7,42.3,4.988123515,50.2,6,33,26.2,NA,17.4,56.2,16,39292,424.8
177.4,58.2,70.8,23.7,42.72642886,295,26.6,28,5.395731735,41.1,6.3,27.4,18.7,66.7,21.1,56,119,41037,449.8
168.3,NA,73.5,25.9,40.60228453,180,28.1,29.3,4.979333506,36.3,8.4,20.9,16.1,NA,21.7,52.8,70,40797,441.6
150.1,53.3,64.5,18.8,52.00793651,1962.667684,29.3,31.4,8.186469585,52.6,4.6,23.1,33.9,35.6,12.4,70.1,43,48609,453.5494221
153.8,NA,70.6,12.9,53.63046662,1962.667684,42,44.2,8.062360802,57.7,4.9,36.2,36.8,27,13.9,59.2,32,48176,453.5494221
228.4,50.2,66.1,15.7,54.81821391,47,43,44.7,7.955390335,58.5,4.5,43.3,30.7,NA,9.1,58.7,22,43298,506.4
-999,49.7,63,23.4,34.30754208,985,28.4,32.4,6.373340936,34.1,10.9,26.9,33.5,NA,15.6,50.8,393,42567,480.5
164.9,39.3,63.6,13.9,58.64304235,42,44.7,44.8,8.581138488,58.3,5.1,34.3,36.1,NA,16.5,56.3,16,46208,447.8
181.2,NA,55.2,20.3,56.56596097,173,38,40,7.914410931,57.4,7.1,37.3,41.1,NA,10.5,55.3,80,44076,409.9
160.9,56.8,77.9,9.6,56.35323607,1962.667684,42.4,45.9,6.190278355,59.8,4.5,29.9,25.3,NA,17.8,63.8,91,52298,453.5494221
182.8,50.4,69.6,13.4,49.59331841,280,46.3,48,4.527363184,54.6,7.5,42.6,34.6,NA,9.9,55.3,119,43701,466.3
142.1,66.6,82.7,13.6,58.74285714,39,27.2,32.2,5.981533521,53.9,3,20.5,17.7,NA,25.8,66.8,15,53290,392
200.8,38.6,52.6,25.1,46.04377104,36,40.3,43.7,2.32,49.6,6.5,40.3,42.2,NA,8.1,50.6,17,35276,450.6
205.8,44.9,65.3,20.6,51.49921842,108,41.3,46.1,5.73089701,53.6,10,38.8,31.8,49.6,8.4,44.8,47,35664,474.6
182.2,61.8,77.9,9.8,54.73147035,995,35,38.2,5.746827092,52.5,7.5,26.5,36.1,NA,18.8,58.6,378,66625,458.3
146.8,48.3,66.5,13.9,55.72558779,384,44.3,48.1,5.81829259,57,9,23.3,34.4,37.9,19.1,53.9,149,56797,427.6
221.3,40.6,54.1,22.6,54.80690222,117,40.5,41.9,3.464419476,55.8,9.5,44.2,49.3,NA,6,44.4,49,37453,526.2
155.9,NA,79.6,8.2,53.38800964,493,42.3,45,5.404491669,55.7,5.1,26.4,36.9,NA,22.7,59.2,204,61935,400.5
163.6,72.5,85.1,5.5,68.27869684,301,39.2,39.9,4.704009263,57.5,4.3,23,32.6,42.1,24.1,60.5,85,92097,519.6
177.4,NA,55.1,21,40.60826608,696,36.6,38.3,5.240578994,41.4,10.5,25.2,25.7,58.5,18.5,52.3,273,40581,459.5
171,NA,78.7,10.4,52.25392694,143,39.4,43,4.473125884,54.1,4.7,34.8,28.5,45.6,17,62.9,60,54186,434.9
172.7,60.3,77.1,10,53.42832095,1931,40,43.2,4.239802406,51.4,7.3,35.3,28.7,NA,17.2,59.2,677,61510,525.7
179.1,62.1,78.6,6.3,55.46623794,8,44,46.1,13.62007168,60.3,1.7,35.6,13.6,NA,20.5,67.4,4,59879,416.6
185.1,52.4,70.7,12.9,53.28205669,310,41.3,44,5.090116855,54.6,9.6,37.3,30.1,48.2,12.2,55.7,122,48544,495.6
217.5,46.2,62.7,14.9,42.79547484,90,40.8,42.8,6.460336538,45.9,7.9,35,31.3,NA,14.6,58.2,45,41294,451.5
